datetime,DCE.l2005.open,DCE.l2005.high,DCE.l2005.low,DCE.l2005.close,DCE.l2005.volume,DCE.l2005.open_oi,DCE.l2005.close_oi
2019-11-01 09:00:00.000000000,7135.0,7145.0,7135.0,7140.0,678,250082,250152
2019-11-01 09:01:00.000000000,7140.0,7140.0,7135.0,7135.0,552,250152,250356
2019-11-01 09:02:00.000000000,7135.0,7140.0,7135.0,7140.0,108,250356,250352
2019-11-01 09:03:00.000000000,7140.0,7140.0,7140.0,7140.0,42,250352,250350
2019-11-01 09:04:00.000000000,7140.0,7140.0,7135.0,7140.0,66,250350,250388
2019-11-01 09:05:00.000000000,7140.0,7140.0,7135.0,7135.0,1500,250388,250746
2019-11-01 09:06:00.000000000,7135.0,7140.0,7130.0,7130.0,88,250746,250754
2019-11-01 09:07:00.000000000,7130.0,7140.0,7130.0,7140.0,160,250754,250762
2019-11-01 09:08:00.000000000,7140.0,7140.0,7130.0,7135.0,304,250762,250932
2019-11-01 09:09:00.000000000,7135.0,7135.0,7130.0,7135.0,22,250932,250930
2019-11-01 09:10:00.000000000,7135.0,7135.0,7120.0,7125.0,1306,250930,251242
2019-11-01 09:11:00.000000000,7125.0,7125.0,7115.0,7120.0,1950,251242,251464
2019-11-01 09:12:00.000000000,7120.0,7120.0,7110.0,7115.0,1794,251464,252418
2019-11-01 09:13:00.000000000,7115.0,7120.0,7110.0,7110.0,366,252418,252524
2019-11-01 09:14:00.000000000,7110.0,7120.0,7110.0,7120.0,394,252524,252632
2019-11-01 09:15:00.000000000,7120.0,7125.0,7115.0,7120.0,498,252632,252780
2019-11-01 09:16:00.000000000,7120.0,7130.0,7120.0,7130.0,332,252780,252800
2019-11-01 09:17:00.000000000,7130.0,7130.0,7120.0,7120.0,326,252800,253008
2019-11-01 09:18:00.000000000,7120.0,7125.0,7120.0,7125.0,288,253008,252908
2019-11-01 09:19:00.000000000,7125.0,7125.0,7120.0,7125.0,400,252908,252854
2019-11-01 09:20:00.000000000,7125.0,7125.0,7120.0,7125.0,144,252854,252740
2019-11-01 09:21:00.000000000,7125.0,7125.0,7120.0,7125.0,24,252740,252736
2019-11-01 09:22:00.000000000,7125.0,7125.0,7120.0,7125.0,914,252736,253042
2019-11-01 09:23:00.000000000,7125.0,7125.0,7120.0,7125.0,30,253042,253038
2019-11-01 09:24:00.000000000,7125.0,7125.0,7120.0,7120.0,22,253038,253032
2019-11-01 09:25:00.000000000,7120.0,7125.0,7120.0,7120.0,180,253032,253034
2019-11-01 09:26:00.000000000,7120.0,7125.0,7120.0,7120.0,474,253034,253004
2019-11-01 09:27:00.000000000,7120.0,7125.0,7120.0,7125.0,190,253004,252996
2019-11-01 09:28:00.000000000,7125.0,7130.0,7120.0,7120.0,382,252996,253072
2019-11-01 09:29:00.000000000,7120.0,7125.0,7115.0,7115.0,590,253072,253272
2019-11-01 09:30:00.000000000,7115.0,7120.0,7115.0,7120.0,236,253272,253408
2019-11-01 09:31:00.000000000,7120.0,7120.0,7115.0,7120.0,482,253408,253576
2019-11-01 09:32:00.000000000,7120.0,7125.0,7115.0,7125.0,154,253576,253664
2019-11-01 09:33:00.000000000,7125.0,7125.0,7120.0,7125.0,42,253664,253678
2019-11-01 09:34:00.000000000,7125.0,7125.0,7120.0,7125.0,838,253678,253138
2019-11-01 09:35:00.000000000,7125.0,7125.0,7125.0,7125.0,106,253138,253156
2019-11-01 09:36:00.000000000,7125.0,7125.0,7120.0,7120.0,386,253156,253406
