datetime,DCE.v2005.open,DCE.v2005.high,DCE.v2005.low,DCE.v2005.close,DCE.v2005.volume,DCE.v2005.open_oi,DCE.v2005.close_oi
2019-11-01 09:00:00.000000000,6215.0,6215.0,6215.0,6215.0,40,119388,119416
2019-11-01 09:01:00.000000000,6215.0,6215.0,6205.0,6210.0,366,119416,119660
2019-11-01 09:02:00.000000000,6210.0,6215.0,6210.0,6215.0,40,119660,119638
2019-11-01 09:03:00.000000000,6215.0,6215.0,6210.0,6210.0,32,119638,119656
2019-11-01 09:04:00.000000000,6210.0,6215.0,6210.0,6215.0,52,119656,119694
2019-11-01 09:05:00.000000000,6215.0,6215.0,6215.0,6215.0,170,119694,119682
2019-11-01 09:06:00.000000000,6215.0,6220.0,6215.0,6215.0,64,119682,119680
2019-11-01 09:07:00.000000000,6215.0,6220.0,6215.0,6220.0,4,119680,119682
2019-11-01 09:08:00.000000000,6220.0,6220.0,6220.0,6220.0,104,119682,119622
2019-11-01 09:09:00.000000000,6220.0,6220.0,6220.0,6220.0,0,119622,119622
2019-11-01 09:10:00.000000000,6220.0,6220.0,6215.0,6215.0,6,119622,119622
2019-11-01 09:11:00.000000000,6215.0,6220.0,6215.0,6220.0,120,119622,119694
2019-11-01 09:12:00.000000000,6220.0,6220.0,6210.0,6210.0,322,119694,119790
2019-11-01 09:13:00.000000000,6210.0,6215.0,6210.0,6215.0,76,119790,119740
2019-11-01 09:14:00.000000000,6215.0,6220.0,6215.0,6220.0,18,119740,119740
2019-11-01 09:15:00.000000000,6220.0,6220.0,6215.0,6215.0,80,119740,119784
2019-11-01 09:16:00.000000000,6215.0,6220.0,6215.0,6220.0,298,119784,119660
2019-11-01 09:17:00.000000000,6220.0,6225.0,6220.0,6220.0,22,119660,119672
2019-11-01 09:18:00.000000000,6220.0,6220.0,6220.0,6220.0,2,119672,119674
2019-11-01 09:19:00.000000000,6220.0,6220.0,6220.0,6220.0,20,119674,119692
2019-11-01 09:20:00.000000000,6220.0,6220.0,6220.0,6220.0,0,119692,119692
2019-11-01 09:21:00.000000000,6220.0,6220.0,6220.0,6220.0,64,119692,119734
2019-11-01 09:22:00.000000000,6220.0,6220.0,6220.0,6220.0,36,119734,119732
2019-11-01 09:23:00.000000000,6220.0,6220.0,6220.0,6220.0,42,119732,119698
2019-11-01 09:24:00.000000000,6220.0,6220.0,6220.0,6220.0,18,119698,119698
2019-11-01 09:25:00.000000000,6220.0,6225.0,6220.0,6220.0,20,119698,119678
2019-11-01 09:26:00.000000000,6220.0,6225.0,6220.0,6225.0,2,119678,119678
2019-11-01 09:27:00.000000000,6225.0,6225.0,6225.0,6225.0,2,119678,119680
2019-11-01 09:28:00.000000000,6225.0,6225.0,6220.0,6220.0,52,119680,119646
2019-11-01 09:29:00.000000000,6220.0,6225.0,6220.0,6225.0,4,119646,119646
2019-11-01 09:30:00.000000000,6225.0,6225.0,6220.0,6220.0,8,119646,119646
2019-11-01 09:31:00.000000000,6220.0,6225.0,6220.0,6220.0,40,119646,119644
2019-11-01 09:32:00.000000000,6220.0,6225.0,6220.0,6225.0,22,119644,119644
2019-11-01 09:33:00.000000000,6225.0,6225.0,6225.0,6225.0,472,119644,119440
2019-11-01 09:34:00.000000000,6225.0,6225.0,6225.0,6225.0,4,119440,119444
2019-11-01 09:35:00.000000000,6225.0,6230.0,6225.0,6230.0,136,119444,119404
2019-11-01 09:36:00.000000000,6230.0,6230.0,6230.0,6230.0,0,119404,119404
2019-11-01 09:37:00.000000000,6230.0,6230.0,6230.0,6230.0,0,119404,119404
2019-11-01 09:38:00.000000000,6230.0,6230.0,6225.0,6225.0,22,119404,119406
2019-11-01 09:39:00.000000000,6225.0,6225.0,6225.0,6225.0,0,119406,119406
2019-11-01 09:40:00.000000000,6225.0,6230.0,6225.0,6230.0,20,119406,119416
2019-11-01 09:41:00.000000000,6230.0,6230.0,6225.0,6225.0,18,119416,119434
2019-11-01 09:42:00.000000000,6225.0,6230.0,6225.0,6230.0,170,119434,119374
2019-11-01 09:43:00.000000000,6230.0,6230.0,6230.0,6230.0,330,119374,119410
2019-11-01 09:44:00.000000000,6230.0,6230.0,6225.0,6225.0,30,119410,119440
2019-11-01 09:45:00.000000000,6225.0,6225.0,6225.0,6225.0,0,119440,119440
2019-11-01 09:46:00.000000000,6225.0,6230.0,6225.0,6230.0,22,119440,119442
2019-11-01 09:47:00.000000000,6230.0,6230.0,6230.0,6230.0,34,119442,119444
2019-11-01 09:48:00.000000000,6230.0,6230.0,6225.0,6225.0,22,119444,119466
2019-11-01 09:49:00.000000000,6225.0,6225.0,6225.0,6225.0,20,119466,119484
2019-11-01 09:50:00.000000000,6225.0,6225.0,6220.0,6225.0,324,119484,119534
2019-11-01 09:51:00.000000000,6225.0,6225.0,6220.0,6220.0,4,119534,119538
2019-11-01 09:52:00.000000000,6220.0,6225.0,6220.0,6225.0,36,119538,119558
2019-11-01 09:53:00.000000000,6225.0,6225.0,6220.0,6220.0,16,119558,119570
2019-11-01 09:54:00.000000000,6220.0,6220.0,6220.0,6220.0,6,119570,119574
2019-11-01 09:55:00.000000000,6220.0,6220.0,6220.0,6220.0,0,119574,119574
2019-11-01 09:56:00.000000000,6220.0,6220.0,6220.0,6220.0,0,119574,119574
2019-11-01 09:57:00.000000000,6220.0,6225.0,6220.0,6225.0,2,119574,119574
2019-11-01 09:58:00.000000000,6225.0,6225.0,6220.0,6220.0,44,119574,119606
2019-11-01 09:59:00.000000000,6220.0,6220.0,6220.0,6220.0,60,119606,119596
2019-11-01 10:00:00.000000000,6220.0,6225.0,6220.0,6225.0,12,119596,119596
2019-11-01 10:01:00.000000000,6225.0,6225.0,6225.0,6225.0,0,119596,119596
2019-11-01 10:02:00.000000000,6225.0,6225.0,6225.0,6225.0,8,119596,119602
2019-11-01 10:03:00.000000000,6225.0,6225.0,6225.0,6225.0,2,119602,119602
2019-11-01 10:04:00.000000000,6225.0,6225.0,6225.0,6225.0,0,119602,119602
2019-11-01 10:05:00.000000000,6225.0,6225.0,6225.0,6225.0,126,119602,119636
2019-11-01 10:06:00.000000000,6225.0,6225.0,6225.0,6225.0,146,119636,119580
