datetime,DCE.l2001.open,DCE.l2001.high,DCE.l2001.low,DCE.l2001.close,DCE.l2001.volume,DCE.l2001.open_oi,DCE.l2001.close_oi
2019-08-15 09:00:00.000000000,7510.0,7510.0,7495.0,7495.0,5818,646194,646808
2019-08-15 09:01:00.000000000,7495.0,7500.0,7485.0,7490.0,10252,646808,644972
2019-08-15 09:02:00.000000000,7490.0,7495.0,7485.0,7485.0,4234,644972,645648
2019-08-15 09:03:00.000000000,7485.0,7495.0,7485.0,7490.0,1828,645648,646086
2019-08-15 09:04:00.000000000,7490.0,7490.0,7480.0,7485.0,2832,646086,647300
2019-08-15 09:05:00.000000000,7485.0,7490.0,7475.0,7475.0,5174,647300,648842
2019-08-15 09:06:00.000000000,7475.0,7485.0,7475.0,7480.0,5812,648842,648968
2019-08-15 09:07:00.000000000,7480.0,7480.0,7470.0,7470.0,2424,648968,649502
2019-08-15 09:08:00.000000000,7470.0,7485.0,7470.0,7480.0,2588,649502,649712
2019-08-15 09:09:00.000000000,7480.0,7485.0,7475.0,7480.0,1396,649712,649704
2019-08-15 09:10:00.000000000,7480.0,7480.0,7470.0,7475.0,3216,649704,650586
2019-08-15 09:11:00.000000000,7475.0,7480.0,7475.0,7480.0,2274,650586,650236
2019-08-15 09:12:00.000000000,7480.0,7480.0,7475.0,7475.0,1656,650236,650462
2019-08-15 09:13:00.000000000,7475.0,7480.0,7470.0,7475.0,3608,650462,650324
2019-08-15 09:14:00.000000000,7475.0,7480.0,7470.0,7470.0,2222,650324,650814
2019-08-15 09:15:00.000000000,7470.0,7475.0,7465.0,7470.0,6808,650814,651882
2019-08-15 09:16:00.000000000,7470.0,7475.0,7460.0,7475.0,7318,651882,651234
2019-08-15 09:17:00.000000000,7475.0,7475.0,7465.0,7470.0,5256,651234,650676
2019-08-15 09:18:00.000000000,7470.0,7480.0,7465.0,7480.0,5260,650676,649702
2019-08-15 09:19:00.000000000,7480.0,7495.0,7475.0,7490.0,5054,649702,648716
2019-08-15 09:20:00.000000000,7490.0,7495.0,7485.0,7485.0,4536,648716,648932
2019-08-15 09:21:00.000000000,7485.0,7495.0,7485.0,7490.0,2304,648932,648868
2019-08-15 09:22:00.000000000,7490.0,7490.0,7480.0,7480.0,1192,648868,649112
2019-08-15 09:23:00.000000000,7480.0,7490.0,7480.0,7485.0,3636,649112,649722
2019-08-15 09:24:00.000000000,7485.0,7485.0,7480.0,7480.0,5856,649722,649718
2019-08-15 09:25:00.000000000,7480.0,7485.0,7475.0,7480.0,2004,649718,649902
2019-08-15 09:26:00.000000000,7480.0,7480.0,7475.0,7475.0,1230,649902,650260
2019-08-15 09:27:00.000000000,7475.0,7480.0,7475.0,7475.0,88,650260,650252
2019-08-15 09:28:00.000000000,7475.0,7480.0,7475.0,7480.0,656,650252,650486
2019-08-15 09:29:00.000000000,7480.0,7480.0,7475.0,7475.0,2130,650486,650584
2019-08-15 09:30:00.000000000,7475.0,7480.0,7470.0,7475.0,1642,650584,650296
2019-08-15 09:31:00.000000000,7475.0,7480.0,7475.0,7475.0,432,650296,650158
2019-08-15 09:32:00.000000000,7475.0,7485.0,7475.0,7480.0,2942,650158,650018
