datetime,DCE.v2001.open,DCE.v2001.high,DCE.v2001.low,DCE.v2001.close,DCE.v2001.volume,DCE.v2001.open_oi,DCE.v2001.close_oi
2019-08-15 09:00:00.000000000,6655.0,6655.0,6645.0,6645.0,1900,243604,243856
2019-08-15 09:01:00.000000000,6645.0,6650.0,6640.0,6640.0,3344,243856,243848
2019-08-15 09:02:00.000000000,6640.0,6645.0,6640.0,6640.0,314,243848,243844
2019-08-15 09:03:00.000000000,6640.0,6645.0,6635.0,6640.0,948,243844,243586
2019-08-15 09:04:00.000000000,6640.0,6640.0,6635.0,6635.0,930,243586,243758
2019-08-15 09:05:00.000000000,6635.0,6640.0,6635.0,6635.0,672,243758,243822
2019-08-15 09:06:00.000000000,6635.0,6640.0,6625.0,6630.0,4406,243822,243404
2019-08-15 09:07:00.000000000,6630.0,6630.0,6625.0,6630.0,918,243404,243570
2019-08-15 09:08:00.000000000,6630.0,6630.0,6625.0,6630.0,2246,243570,243278
2019-08-15 09:09:00.000000000,6630.0,6630.0,6620.0,6620.0,1420,243278,242702
2019-08-15 09:10:00.000000000,6620.0,6625.0,6620.0,6625.0,878,242702,242946
2019-08-15 09:11:00.000000000,6625.0,6630.0,6620.0,6630.0,1092,242946,242910
2019-08-15 09:12:00.000000000,6630.0,6630.0,6625.0,6630.0,570,242910,242828
2019-08-15 09:13:00.000000000,6630.0,6630.0,6620.0,6630.0,1368,242828,243204
2019-08-15 09:14:00.000000000,6630.0,6630.0,6625.0,6625.0,508,243204,243216
2019-08-15 09:15:00.000000000,6625.0,6630.0,6620.0,6620.0,1564,243216,243396
2019-08-15 09:16:00.000000000,6620.0,6630.0,6620.0,6625.0,1736,243396,243226
2019-08-15 09:17:00.000000000,6625.0,6630.0,6625.0,6630.0,972,243226,243138
2019-08-15 09:18:00.000000000,6630.0,6630.0,6625.0,6630.0,544,243138,243256
2019-08-15 09:19:00.000000000,6630.0,6630.0,6625.0,6630.0,1812,243256,243178
2019-08-15 09:20:00.000000000,6630.0,6635.0,6630.0,6635.0,736,243178,243126
2019-08-15 09:21:00.000000000,6635.0,6635.0,6625.0,6630.0,600,243126,242916
2019-08-15 09:22:00.000000000,6630.0,6630.0,6625.0,6625.0,1828,242916,243670
2019-08-15 09:23:00.000000000,6625.0,6625.0,6620.0,6625.0,68,243670,243672
