datetime,CZCE.CF001.open,CZCE.CF001.high,CZCE.CF001.low,CZCE.CF001.close,CZCE.CF001.volume,CZCE.CF001.open_oi,CZCE.CF001.close_oi
2019-08-15 09:00:00.000000000,12815.0,12840.0,12805.0,12820.0,3414,461314,461514
2019-08-15 09:01:00.000000000,12820.0,12825.0,12815.0,12825.0,1350,461514,461612
2019-08-15 09:02:00.000000000,12825.0,12835.0,12820.0,12830.0,1002,461612,461782
2019-08-15 09:03:00.000000000,12830.0,12830.0,12820.0,12825.0,1450,461782,461972
2019-08-15 09:04:00.000000000,12825.0,12825.0,12810.0,12810.0,2174,461972,461788
2019-08-15 09:05:00.000000000,12810.0,12830.0,12810.0,12825.0,1272,461788,461862
2019-08-15 09:06:00.000000000,12825.0,12825.0,12785.0,12785.0,4480,461862,461408
2019-08-15 09:07:00.000000000,12785.0,12805.0,12780.0,12785.0,3968,461408,461262
2019-08-15 09:08:00.000000000,12785.0,12795.0,12785.0,12795.0,1942,461262,461292
2019-08-15 09:09:00.000000000,12795.0,12800.0,12780.0,12785.0,1682,461292,461916
2019-08-15 09:10:00.000000000,12785.0,12790.0,12780.0,12780.0,1250,461916,462156
2019-08-15 09:11:00.000000000,12780.0,12780.0,12765.0,12770.0,6674,462156,463108
2019-08-15 09:12:00.000000000,12770.0,12770.0,12760.0,12760.0,1836,463108,463318
2019-08-15 09:13:00.000000000,12760.0,12765.0,12735.0,12760.0,7648,463318,462906
2019-08-15 09:14:00.000000000,12760.0,12765.0,12740.0,12740.0,4308,462906,464200
2019-08-15 09:15:00.000000000,12740.0,12760.0,12740.0,12755.0,2890,464200,465098
2019-08-15 09:16:00.000000000,12755.0,12755.0,12740.0,12750.0,1852,465098,466084
2019-08-15 09:17:00.000000000,12750.0,12750.0,12735.0,12740.0,1250,466084,466502
2019-08-15 09:18:00.000000000,12740.0,12755.0,12735.0,12750.0,1960,466502,466792
2019-08-15 09:19:00.000000000,12750.0,12770.0,12745.0,12760.0,2590,466792,466784
2019-08-15 09:20:00.000000000,12760.0,12770.0,12755.0,12765.0,1788,466784,467136
2019-08-15 09:21:00.000000000,12765.0,12765.0,12755.0,12755.0,1082,467136,467222
2019-08-15 09:22:00.000000000,12755.0,12765.0,12755.0,12760.0,490,467222,467192
2019-08-15 09:23:00.000000000,12760.0,12765.0,12755.0,12760.0,660,467192,467396
2019-08-15 09:24:00.000000000,12760.0,12765.0,12755.0,12760.0,780,467396,467416
2019-08-15 09:25:00.000000000,12760.0,12765.0,12760.0,12760.0,216,467416,467432
2019-08-15 09:26:00.000000000,12760.0,12780.0,12760.0,12775.0,1824,467432,467484
2019-08-15 09:27:00.000000000,12775.0,12780.0,12770.0,12775.0,668,467484,467446
2019-08-15 09:28:00.000000000,12775.0,12775.0,12760.0,12765.0,832,467446,467372
2019-08-15 09:29:00.000000000,12765.0,12770.0,12760.0,12760.0,824,467372,467336
2019-08-15 09:30:00.000000000,12760.0,12770.0,12760.0,12765.0,836,467336,467386
2019-08-15 09:31:00.000000000,12765.0,12775.0,12765.0,12770.0,424,467386,467140
2019-08-15 09:32:00.000000000,12770.0,12775.0,12765.0,12765.0,1330,467140,467560
2019-08-15 09:33:00.000000000,12765.0,12765.0,12755.0,12760.0,866,467560,467640
2019-08-15 09:34:00.000000000,12760.0,12765.0,12760.0,12760.0,316,467640,467696
2019-08-15 09:35:00.000000000,12760.0,12765.0,12755.0,12765.0,684,467696,467840
2019-08-15 09:36:00.000000000,12765.0,12765.0,12755.0,12755.0,398,467840,467904
2019-08-15 09:37:00.000000000,12755.0,12760.0,12755.0,12760.0,870,467904,467976
2019-08-15 09:38:00.000000000,12760.0,12765.0,12755.0,12755.0,638,467976,467880
2019-08-15 09:39:00.000000000,12755.0,12760.0,12755.0,12760.0,260,467880,467980
2019-08-15 09:40:00.000000000,12760.0,12760.0,12755.0,12755.0,350,467980,468072
2019-08-15 09:41:00.000000000,12755.0,12760.0,12755.0,12755.0,312,468072,468166
2019-08-15 09:42:00.000000000,12755.0,12760.0,12750.0,12755.0,486,468166,468114
2019-08-15 09:43:00.000000000,12755.0,12765.0,12750.0,12765.0,522,468114,468126
2019-08-15 09:44:00.000000000,12765.0,12765.0,12760.0,12760.0,728,468126,468298
2019-08-15 09:45:00.000000000,12760.0,12770.0,12760.0,12770.0,1070,468298,468334
2019-08-15 09:46:00.000000000,12770.0,12775.0,12765.0,12770.0,1066,468334,468488
2019-08-15 09:47:00.000000000,12770.0,12775.0,12765.0,12770.0,654,468488,468608
2019-08-15 09:48:00.000000000,12770.0,12775.0,12770.0,12775.0,368,468608,468622
2019-08-15 09:49:00.000000000,12775.0,12790.0,12770.0,12785.0,3036,468622,468532
2019-08-15 09:50:00.000000000,12785.0,12790.0,12780.0,12780.0,744,468532,468662
2019-08-15 09:51:00.000000000,12780.0,12785.0,12780.0,12785.0,186,468662,468600
2019-08-15 09:52:00.000000000,12785.0,12790.0,12780.0,12790.0,484,468600,468512
2019-08-15 09:53:00.000000000,12790.0,12790.0,12775.0,12780.0,840,468512,468624
2019-08-15 09:54:00.000000000,12780.0,12785.0,12775.0,12780.0,404,468624,468428
2019-08-15 09:55:00.000000000,12780.0,12785.0,12775.0,12785.0,394,468428,468504
2019-08-15 09:56:00.000000000,12785.0,12785.0,12780.0,12780.0,90,468504,468510
2019-08-15 09:57:00.000000000,12780.0,12785.0,12775.0,12780.0,212,468510,468580
2019-08-15 09:58:00.000000000,12780.0,12780.0,12775.0,12780.0,110,468580,468614
2019-08-15 09:59:00.000000000,12780.0,12780.0,12775.0,12775.0,116,468614,468636
2019-08-15 10:00:00.000000000,12775.0,12785.0,12775.0,12785.0,282,468636,468636
2019-08-15 10:01:00.000000000,12785.0,12785.0,12775.0,12780.0,1064,468636,469072
2019-08-15 10:02:00.000000000,12780.0,12785.0,12780.0,12780.0,342,469072,469226
2019-08-15 10:03:00.000000000,12780.0,12785.0,12775.0,12780.0,482,469226,469242
2019-08-15 10:04:00.000000000,12780.0,12785.0,12780.0,12780.0,330,469242,469220
2019-08-15 10:05:00.000000000,12780.0,12785.0,12780.0,12785.0,110,469220,469180
2019-08-15 10:06:00.000000000,12785.0,12785.0,12780.0,12780.0,264,469180,469252
2019-08-15 10:07:00.000000000,12780.0,12785.0,12775.0,12775.0,426,469252,469322
2019-08-15 10:08:00.000000000,12775.0,12780.0,12775.0,12780.0,108,469322,469352
2019-08-15 10:09:00.000000000,12780.0,12780.0,12770.0,12770.0,526,469352,469452
2019-08-15 10:10:00.000000000,12770.0,12780.0,12770.0,12775.0,242,469452,469538
