,Datetime,Open,High,Low,Close,Volume
0,2019-08-15 09:00:00,6655.0,6655.0,6645.0,6645.0,1900
1,2019-08-15 09:01:00,6645.0,6650.0,6640.0,6640.0,3344
2,2019-08-15 09:02:00,6640.0,6645.0,6640.0,6640.0,314
3,2019-08-15 09:03:00,6640.0,6645.0,6635.0,6640.0,948
4,2019-08-15 09:04:00,6640.0,6640.0,6635.0,6635.0,930
5,2019-08-15 09:05:00,6635.0,6640.0,6635.0,6635.0,672
6,2019-08-15 09:06:00,6635.0,6640.0,6625.0,6630.0,4406
7,2019-08-15 09:07:00,6630.0,6630.0,6625.0,6630.0,918
8,2019-08-15 09:08:00,6630.0,6630.0,6625.0,6630.0,2246
9,2019-08-15 09:09:00,6630.0,6630.0,6620.0,6620.0,1420
10,2019-08-15 09:10:00,6620.0,6625.0,6620.0,6625.0,878
11,2019-08-15 09:11:00,6625.0,6630.0,6620.0,6630.0,1092
12,2019-08-15 09:12:00,6630.0,6630.0,6625.0,6630.0,570
13,2019-08-15 09:13:00,6630.0,6630.0,6620.0,6630.0,1368
14,2019-08-15 09:14:00,6630.0,6630.0,6625.0,6625.0,508
15,2019-08-15 09:15:00,6625.0,6630.0,6620.0,6620.0,1564
16,2019-08-15 09:16:00,6620.0,6630.0,6620.0,6625.0,1736
17,2019-08-15 09:17:00,6625.0,6630.0,6625.0,6630.0,972
18,2019-08-15 09:18:00,6630.0,6630.0,6625.0,6630.0,544
19,2019-08-15 09:19:00,6630.0,6630.0,6625.0,6630.0,1812
20,2019-08-15 09:20:00,6630.0,6635.0,6630.0,6635.0,736
21,2019-08-15 09:21:00,6635.0,6635.0,6625.0,6630.0,600
22,2019-08-15 09:22:00,6630.0,6630.0,6625.0,6625.0,1828
23,2019-08-15 09:23:00,6625.0,6625.0,6620.0,6625.0,68
24,2019-08-15 09:24:00,6625.0,6625.0,6620.0,6625.0,1060
25,2019-08-15 09:25:00,6625.0,6625.0,6620.0,6625.0,566
26,2019-08-15 09:26:00,6625.0,6625.0,6620.0,6625.0,1338
27,2019-08-15 09:27:00,6625.0,6625.0,6620.0,6620.0,58
28,2019-08-15 09:28:00,6620.0,6630.0,6620.0,6625.0,696
